Time (s),Channel 1 (V),Channel 2 (V)
29.32127405,1.053807172089429,0.9523052191117766
29.32615686,1.053807172089429,0.9523052191117766
29.33103967,1.053807172089429,0.9523052191117766
29.33592248,1.053807172089429,0.9523052191117766
29.34080529,1.050116341943666,0.9523052191117766
29.3456881,1.050116341943666,0.9523052191117766
29.35057091,1.050116341943666,0.9523052191117766
29.35545372,1.050116341943666,0.9523052191117766
29.36033653,1.050116341943666,0.9523052191117766
29.36521934,1.050116341943666,0.9523052191117766
29.37010215,1.050116341943666,0.9523052191117766
29.37498496,1.050116341943666,0.9523052191117766
29.37986777,1.046425511797902,0.9523052191117766
29.38475058,1.046425511797902,0.9523052191117766
29.38963339,1.046425511797902,0.9523052191117766
29.394516199999998,1.046425511797902,0.9523052191117766
29.39939901,1.046425511797902,0.9523052191117766
29.40428182,1.046425511797902,0.9523052191117766
29.40916463,1.042734681652139,0.9523052191117766
29.41404744,1.042734681652139,0.9523052191117766
29.41893025,1.042734681652139,0.9523052191117766
29.42381306,1.042734681652139,0.9523052191117766
29.42869587,1.042734681652139,0.9523052191117766
29.43357868,1.042734681652139,0.9523052191117766
29.43846149,1.042734681652139,0.9523052191117766
29.4433443,1.042734681652139,0.9523052191117766
29.44822711,1.039043851506376,0.9523052191117766
29.45310992,1.039043851506376,0.9523052191117766
29.45799273,1.039043851506376,0.9523052191117766
29.46287554,1.039043851506376,0.9523052191117766
29.46775835,1.039043851506376,0.9523052191117766
29.47264116,1.039043851506376,0.9523052191117766
29.47752397,1.039043851506376,0.9523052191117766
29.48240678,1.039043851506376,0.9523052191117766
29.48728959,1.035353021360612,0.9523052191117766
29.4921724,1.035353021360612,0.9523052191117766
29.49705521,1.035353021360612,0.9523052191117766
29.50193802,1.035353021360612,0.9523052191117766
29.50682083,1.035353021360612,0.9523052191117766
29.51170364,1.035353021360612,0.9523052191117766
29.51658645,1.035353021360612,0.9523052191117766
29.52146926,1.035353021360612,0.9523052191117766
29.52635207,1.031662191214849,0.9523052191117766
29.53123488,1.031662191214849,0.9523052191117766
29.53611769,1.031662191214849,0.9523052191117766
29.5410005,1.031662191214849,0.9523052191117766
29.54588331,1.031662191214849,0.9523052191117766
29.55076612,1.031662191214849,0.9523052191117766
29.55564893,1.031662191214849,0.9523052191117766
29.56053174,1.027971361069085,0.9523052191117766
29.56541455,1.027971361069085,0.9523052191117766
29.57029736,1.027971361069085,0.9523052191117766
29.57518017,1.027971361069085,0.9523052191117766
29.58006298,1.027971361069085,0.9523052191117766
29.58494579,1.027971361069085,0.9523052191117766
29.5898286,1.027971361069085,0.9523052191117766
29.59471141,1.024280530923322,0.9523052191117766
29.59959422,1.024280530923322,0.9523052191117766
29.60447703,1.024280530923322,0.9523052191117766
29.60935984,1.024280530923322,0.9523052191117766
29.61424265,1.024280530923322,0.9523052191117766
29.61912546,1.024280530923322,0.9523052191117766
29.62400827,1.024280530923322,0.9523052191117766
29.62889108,1.020589700777559,0.9523052191117766
29.63377389,1.020589700777559,0.9523052191117766
29.6386567,1.020589700777559,0.9523052191117766
29.64353951,1.020589700777559,0.9523052191117766
29.64842232,1.020589700777559,0.9523052191117766
29.65330513,1.020589700777559,0.9523052191117766
29.65818794,1.020589700777559,0.9523052191117766
29.66307075,1.016898870631795,0.9523052191117766
29.66795356,1.016898870631795,0.9523052191117766
29.67283637,1.016898870631795,0.9523052191117766
29.67771918,1.016898870631795,0.9523052191117766
29.68260199,1.016898870631795,0.9523052191117766
29.6874848,1.016898870631795,0.9523052191117766
29.69236761,1.016898870631795,0.9523052191117766
29.69725042,1.013208040486032,0.9523052191117766
29.70213323,1.013208040486032,0.9523052191117766
29.70701604,1.013208040486032,0.9523052191117766
29.71189885,1.013208040486032,0.9523052191117766
29.71678166,1.013208040486032,0.9523052191117766
29.72166447,1.013208040486032,0.9523052191117766
29.72654728,1.009517210340269,0.9523052191117766
29.73143009,1.009517210340269,0.9523052191117766
29.7363129,1.009517210340269,0.9523052191117766
29.74119571,1.009517210340269,0.9523052191117766
29.74607852,1.009517210340269,0.9523052191117766
29.75096133,1.005826380194505,0.9523052191117766
29.75584414,1.005826380194505,0.9523052191117766
29.76072695,1.005826380194505,0.9523052191117766
29.76560976,1.005826380194505,0.9523052191117766
